casename,area_of_law
2000_SGCA_1.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'res judicata', 'trusts', 'damages', 'equity', 'land', 'restitution']"
2000_SGCA_10.pdf,"['companies', 'contract', 'evidence', 'trusts', 'equity']"
2000_SGCA_11.pdf,"['companies', 'contract', 'evidence', 'damages', 'land']"
2000_SGCA_12.pdf,"['companies', 'courts and jurisdiction', 'words and phrases']"
2000_SGCA_13.pdf,"['criminal law', 'evidence', 'tort']"
2000_SGCA_14.pdf,"['arbitration', 'words and phrases', 'contract', 'evidence', 'damages', 'land']"
2000_SGCA_15.pdf,"['arbitration', 'contract', 'evidence', 'damages', 'administrative law', 'employment law']"
2000_SGCA_16.pdf,"['civil procedure', 'injunctions', 'companies', 'insurance', 'contract', 'evidence', 'equity', 'agency']"
2000_SGCA_17.pdf,"['companies', 'evidence', 'administrative law', 'land', 'legal profession', 'professions']"
2000_SGCA_18.pdf,"['arbitration', 'words and phrases', 'contract', 'evidence', 'land']"
2000_SGCA_19.pdf,"['evidence', 'tort', 'land', 'gifts']"
2000_SGCA_2.pdf,"['companies', 'contract', 'evidence', 'damages', 'tort']"
2000_SGCA_20.pdf,"['contract', 'evidence', 'banking', 'land']"
2000_SGCA_21.pdf,"['companies', 'contract', 'evidence', 'damages', 'designs', 'land']"
2000_SGCA_22.pdf,"['civil procedure', 'injunctions', 'courts and jurisdiction', 'words and phrases', 'insurance', 'evidence', 'designs', 'banking']"
2000_SGCA_23.pdf,"['civil procedure', 'companies', 'evidence', 'res judicata', 'damages', 'banking', 'tort', 'land', 'intellectual property']"
2000_SGCA_24.pdf,"['civil procedure', 'arbitration', 'companies', 'contract', 'evidence', 'damages', 'land']"
2000_SGCA_25.pdf,"['conflict of laws', 'contract', 'evidence', 'damages', 'land']"
2000_SGCA_26.pdf,"['contract', 'evidence', 'damages', 'employment law', 'confidence']"
2000_SGCA_27.pdf,"['evidence', 'land']"
2000_SGCA_28.pdf,"['admiralty and shipping', 'contract', 'evidence', 'damages', 'land', 'agency']"
2000_SGCA_29.pdf,"['evidence', 'damages', 'designs', 'tort', 'land']"
2000_SGCA_3.pdf,"['civil procedure', 'damages', 'designs']"
2000_SGCA_30.pdf,"['contract', 'evidence', 'damages']"
2000_SGCA_31.pdf,"['companies', 'contract', 'evidence', 'damages', 'tort', 'confidence']"
2000_SGCA_32.pdf,"['evidence', 'land']"
2000_SGCA_33.pdf,"['civil procedure', 'injunctions', 'companies', 'contract', 'evidence', 'damages', 'tort', 'land', 'commercial transactions']"
2000_SGCA_34.pdf,"['contract', 'evidence', 'damages', 'equity', 'land', 'confidence']"
2000_SGCA_35.pdf,"['contract', 'evidence', 'trusts', 'damages', 'banking', 'equity', 'restitution', 'limitation of actions', 'confidence']"
2000_SGCA_36.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land']"
2000_SGCA_37.pdf,"['contract', 'evidence', 'damages', 'tort', 'land']"
2000_SGCA_38.pdf,"['companies', 'contract', 'evidence', 'land']"
2000_SGCA_39.pdf,"['companies', 'evidence', 'land']"
2000_SGCA_4.pdf,"['civil procedure', 'injunctions', 'contract', 'damages', 'banking', 'land']"
2000_SGCA_40.pdf,"['civil procedure', 'evidence', 'trusts', 'damages', 'probate and administration', 'equity', 'gifts']"
2000_SGCA_41.pdf,"['insurance', 'contract', 'evidence', 'land', 'immigration']"
2000_SGCA_42.pdf,"['criminal procedure and sentencing', 'evidence', 'damages', 'land']"
2000_SGCA_43.pdf,"['civil procedure', 'damages', 'equity']"
2000_SGCA_44.pdf,"['criminal law', 'evidence']"
2000_SGCA_45.pdf,"['contract', 'damages', 'land']"
